,数据类型,缺失数量,缺失比例(%),唯一值数量
CustomerID,int64,0,0.0,5630
Churn,int64,0,0.0,2
Tenure,float64,264,4.6891651865008885,36
PreferredLoginDevice,object,0,0.0,3
CityTier,int64,0,0.0,3
WarehouseToHome,float64,251,4.458259325044405,34
PreferredPaymentMode,object,0,0.0,7
Gender,object,0,0.0,2
HourSpendOnApp,float64,255,4.529307282415631,6
NumberOfDeviceRegistered,int64,0,0.0,6
PreferedOrderCat,object,0,0.0,6
SatisfactionScore,int64,0,0.0,5
MaritalStatus,object,0,0.0,3
NumberOfAddress,int64,0,0.0,15
Complain,int64,0,0.0,2
OrderAmountHikeFromlastYear,float64,265,4.706927175843695,16
CouponUsed,float64,256,4.547069271758437,17
OrderCount,float64,258,4.58259325044405,16
DaySinceLastOrder,float64,307,5.452930728241563,22
CashbackAmount,float64,0,0.0,2586
